,vendor_name,img,name,carbohydrates,fats,proteins,calories
89,4048803,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/0a/7b/558deb3860c68dac8872c7ae9f05.jpg,"Нут Аривера продовольственный, 400г",48.6,2.0,20.5,298.0
90,3385945,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/12/5e/07af06a8096a1af7c43013cf0257.jpg,"Приправа Kotanyi итальянские травы, 14г",46.6,8.4,10.0,339.0
91,2112098,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/e1/b7/d654ed826f0953f192c33520c84d.jpg,"Приправа Kotanyi хмели-сунели, 30г",42.4,6.1,15.7,329.0
92,3481038,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/32/c9/857925580ce27fe4108213ef8d00.jpg,"Базилик измельчённый Маркет Перекрёсток, 7г",43.0,4.0,14.0,260.0
93,3481036,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/3e/e3/affe652190bc171ed902f95b69fc.jpg,"Укроп измельчённый Маркет Перекрёсток, 7г",37.0,3.9,18.0,260.0
94,3481037,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/55/39/483ea5fb9faea24bf11ecf96xd3d.jpg,"Петрушка нарезанная Маркет Перекрёсток, 7г",36.0,2.6,22.0,260.0
95,3635743,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/24/67/72e07b1b0b191b7aa2330280be36.jpg,"Фасоль красная натуральная Маркет Перекрёсток, 400г",14.9,0.0,6.1,84.0
96,3468532,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/2f/c2/e27a27xda740840b7836bf036829.jpg,"Маслины без косточки Пр!ст, 280г",,17.0,0.5,128.0
97,4192350,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/xd/47/810aafe83a9071f14c43a027a0b2.jpg,"Кукуруза молочная без сахара Маркет Перекрёсток, 340г",11.0,,2.0,50.0
98,4100914,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f5/57/3fc135e474e370f10e596cd3088a.jpg,"Горошек зелёный Пр!ст, 400г",6.5,0.0,3.1,38.0
99,3504166,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f7/ea/d17dc5ae5d83654a0c6d2a68f31b.jpg,"Огурцы маринованные целые Пр!ст, 680г",1.5,0.0,0.6,8.0
